fecha,motivo,salido_de,ingresado_a,provincia_origen,provincia_origen_id,departamento_origen,departamento_origen_id,provincia_destino,provincia_destino_id,departamento_destino,departamento_destino_id,gallinas,gallos,reproductores,reproductores_abuelos,reproductores_bb_abuelos,reproductores_padres_livianos,reproductores_bb_padres_livianos,reproductores_padres_pesados,reproductores_bb_padres_pesados,aves_recriadas_reproductores_padres_pesados,aves_recriadas_reproductores_padres_livianos,huevos_fertiles
2013-01,Exposicion,Establecimiento,Remate feria,Chubut,26,Futaleufu,26035,Chubut,26,Futaleufu,26035,0,0,25,0,0,0,0,0,0,0,0,0
2013-01,Invernada,Establecimiento,Remate feria,Buenos Aires,06,9 de Julio,06588,Buenos Aires,06,Carmen de Areco,06161,0,0,20,0,0,0,0,0,0,0,0,0
2013-01,Replume,Establecimiento,Establecimiento,Entre Rios,30,Parana,30084,Entre Rios,30,Parana,30084,0,0,0,300,0,0,0,0,0,0,0,0
2013-01,Faena,Establecimiento,Frigorifico,Santa Fe,82,San Lorenzo,82119,Buenos Aires,06,Capitan Sarmiento,06140,0,0,0,0,0,6000,0,0,0,0,0,0
2013-01,Faena,Establecimiento,Frigorifico,Buenos Aires,06,Canuelas,06134,Buenos Aires,06,Capitan Sarmiento,06140,0,0,0,0,0,5000,0,0,0,0,0,0
2013-01,Faena,Establecimiento,Frigorifico,Santa Fe,82,San Lorenzo,82119,Buenos Aires,06,Pilar,06638,0,0,0,0,0,2900,0,0,0,0,0,0
2013-01,Traspatio o autoconsumo,Establecimiento,Establecimiento,Cordoba,14,Rio Cuarto,14098,Cordoba,14,Calamuchita,14007,0,0,0,0,0,800,0,0,0,0,0,0
2013-01,Recria,Establecimiento,Establecimiento,Buenos Aires,06,San Andres de Giles,06728,Buenos Aires,06,Lujan,06497,0,0,0,0,0,800,0,0,0,0,0,0
2013-01,Reproduccion,Establecimiento,Establecimiento,Buenos Aires,06,General Arenales,06294,Buenos Aires,06,Azul,06049,0,0,0,0,0,650,0,0,0,0,0,0
2013-01,Traslado de aves ornamentales,Establecimiento,Establecimiento,Santiago del Estero,86,Capital,86049,Buenos Aires,06,Canuelas,06134,0,0,0,0,0,13,0,0,0,0,0,0
2013-01,Traslado de aves ornamentales,Establecimiento,Establecimiento,Santiago del Estero,86,Capital,86049,Salta,66,General Jose de San Martin,66056,0,0,0,0,0,10,0,0,0,0,0,0
2013-01,Deportes,Establecimiento,Establecimiento,La Pampa,42,Toay,42140,Tucuman,90,Capital,90084,0,0,0,0,0,9,0,0,0,0,0,0
2013-01,Deportes,Establecimiento,Establecimiento,Buenos Aires,06,Canuelas,06134,Entre Rios,30,Parana,30084,0,0,0,0,0,6,0,0,0,0,0,0
2013-01,Deportes,Establecimiento,Establecimiento,Chaco,22,Comandante Fernandez,22021,Santiago Del Estero,86,Capital,86049,0,0,0,0,0,0,13,0,0,0,0,0
2013-01,Recria,Establecimiento,Establecimiento,Entre Rios,30,La Paz,30070,Entre Rios,30,Gualeguaychu,30056,0,0,0,0,0,0,0,109000,0,0,0,0
2013-01,Reproduccion,Establecimiento,Establecimiento,Buenos Aires,06,Canuelas,06134,Buenos Aires,06,General Paz,06343,0,0,0,0,0,0,0,90000,0,0,0,0
